line_id,tf,prim_kv_rating,capacity,X_per_km,length_km
1,0,360,8,4.412,1
2,0,360,6,1.430,1
3,0,360,6.6,2.177,1
4,0,360,6,2.115,1
5,0,360,7.1,6.857,1
6,0,360,8,2.882,1
7,0,360,8,12.816,1
8,0,360,6.2,4.374,1
9,0,360,3.1,5.155,1
10,0,360,2.5,15.904,1
11,0,360,6,5.096,1
12,0,360,4.94,1.828,1
13,0,360,8,2.261,1
14,0,360,2.5,10.593,1
15,0,360,6.2,8.263,1
16,0,360,6.2,8.020,1
17,0,360,6.6,4.657,1
18,0,360,8,1.798,1
19,0,360,8,4.9,1
20,0,360,8,0.831,1
21,0,360,8,6.014,1
22,0,360,8,3.151,1
23,0,360,6.2,6.014,1
24,0,360,2.875,11.421,1
25,0,360,2.5,27.281,1
26,0,360,8.7,6.354,1
27,0,360,6.2,8.628,1
28,0,360,6.6,5.092,1
29,0,360,6.6,6.676,1
30,0,360,2.875,15.858,1
31,0,360,2.5,19.691,1
32,0,360,5,5.658,1
33,0,360,5,2.928,1
34,0,360,2.5,8.276,1
35,0,360,5.5,3.485,1
36,0,360,5,1.426,1
37,0,360,5.5,9.360,1
38,0,360,5.5,3.745,1
39,0,360,5,3.614,1
40,0,360,5.250,5.758,1
41,0,360,5,4.131,1
42,1,360,1732.8,7.830,1
43,1,360,433.2,30.653,1
44,1,360,1010.8,12.777,1
