,p_mw,q_mvar,va_degree,vm_pu
0,3.08447894914708e-09,,0.0,1.0
1,3.0844789471442244e-09,,6.164686602752671,1.0
2,3.084478947434168e-09,,6.164686602752671,1.0
3,5.162187043950945e-09,,0.0,1.0
4,5.162187042428198e-09,,0.0,1.0
5,5.162187038165902e-09,,9.193451764772846,1.0
6,5.1621870405225395e-09,,9.466915759176763,1.0
7,5.162187038435616e-09,,8.24796626019687,1.0
8,5.162187037522514e-09,,6.672580724636142,1.0
9,5.162187043632143e-09,,7.402641038719505,1.0
10,5.162187043632143e-09,,7.402641038719505,1.0
11,5.162187037431147e-09,,5.343810998110294,1.0
12,5.162187045247944e-09,,5.343810998110294,1.0
13,5.1621870558761035e-09,,5.772509902926166,1.0
14,5.162187043121521e-09,,5.902063084614619,1.0
15,5.162187039331538e-09,,5.902063084614619,1.0
16,5.162187036841672e-09,,6.164686602752671,1.0
17,5.1621870370089674e-09,,1.7139772409530658,1.0
18,5.1621870371263146e-09,,5.579117213272146,1.0
19,5.162187039355692e-09,,5.579117213272146,1.0
20,5.162187035363824e-09,,-7.4878149499779205,1.0
21,5.162187050088718e-09,,4.488542254889378,1.0
22,5.16218707058849e-09,,13.369306636555642,1.0
23,5.162187054091306e-09,,3.640354236568143,1.0
24,3.658032618011133e-08,,1.7139772409530658,1.0
